Row Id,Track Name,Album Name,Artist Name(s),Release Date,Genres,Duration
1,Dear Breeze,Another Summer,"S. Kiyotaka & Omega Tribe, Kiyotaka Sugiyama",1985-07-01,classic city pop,241360
2,Sweet Love,THE BEST SONGS OF JUNKO OHASHI,Junko Ohashi,1998-12-05,classic city pop,289333
3,Last Summer Whisper,Heaven Beach,Anri,1982-11-21,classic city pop,299680
4,Magic!,Summer Lovin',リアムMAZE1981,2018-05-30,classic city pop,275946
5,Dress Down,Cologne,Kaoru Akimoto,1986,classic city pop,272533
6,Mayonaka no Door / Stay With Me,Miki Matsubara Best Collection,Miki Matsubara,2008,classic city pop,312293
7,Capricorn Woman,Four Seasons,Naomi Akimoto,1984-02-25,classic city pop,242500
8,Summer Connection,SUNSHOWER,Taeko Onuki,1977-07-25,"anime,classic city pop,japanese new wave,techno kayo",270733
9,誤解,謎はと・か・な・い・で シングル・コレクション,加藤有紀,2018-06-06,"classic city pop,idol kayo",239346
10,満ちていく体温,BLU-SWING 10th ANNIVERSARY BEST,Blu-Swing,2019-05-08,"japanese jazz fusion,japanese jazztronica,japanese vocal jazz",220040
11,サンセット・ロード,"TOKYO 1980s Victor Edition (The Compilation) Boogie, Funk & Modern Soul from Japan",高橋玲子,2018-12-05,classic city pop,258000
12,シンプル・ラブ,ネオ・ヒストリー,Junko Ohashi,1993-09-21,"classic city pop,kayokyoku",240133
13,SOUL LADY,SOUL LADY,YUKIKA,2020-07-21,korean city pop,215693
14,WINDY SUMMER,Timely!!,Anri,1983-12-05,classic city pop,246693
15,街のドルフィン,midnight cruisin',Kingo Hamada,1982-10-21,classic city pop,232893
16,Super Chance,Crystal Night,1986 OMEGA TRIBE,1987-02-04,classic city pop,275400
17,ふたりの夏物語 NEVER ENDING SUMMER,ゴールデン☆ベスト,"S. Kiyotaka & Omega Tribe,Kiyotaka Sugiyama",2011-05-18,classic city pop,241253
18,Remember Summer Days,Timely!!,Anri,1983-12-05,classic city pop,295666
19,Tokai,SUNSHOWER,Taeko Onuki,1977-07-25,"anime,classic city pop,japanese new wave,techno kayo",310173
20,Plastic Love,Broken Love,リアムMAZE1981,2018-05-02,classic city pop,346853
21,Yours,Love,Yuki Saitou,2017-11-01,"classic city pop,idol kayo",366520
22,Summer Suspicion,AQUA CITY,"S. Kiyotaka & Omega Tribe,Kiyotaka Sugiyama",1983-09-21,classic city pop,274160
23,River's Island,River's Island,"Kiyotaka Sugiyama,S. Kiyotaka & Omega Tribe",1984-03-21,classic city pop,278160
24,Sunset (2019 Y.Nakamura Remastering),BLU-SWING 10th ANNIVERSARY BEST,Blu-Swing,2019-05-08,"japanese jazz fusion,japanese jazztronica,japanese vocal jazz",204866
25,ガラスのPALM TREE,First Finale,"S. Kiyotaka & Omega Tribe,Kiyotaka Sugiyama",1985-12-11,classic city pop,271600
26,悲しみがとまらない　I CAN'T STOP THE LONELINESS,Timely!!,Anri,1983-12-05,classic city pop,263706
27,Telephone Number,TOKYO - CITY POP -,Junko Ohashi,2020-03-20,"classic city pop,kayokyoku",239013
28,ファッシネイション,"TOKYO 1980s Victor Edition (The Compilation) Boogie, Funk & Modern Soul from Japan",岡本舞子,2018-12-05,"classic anime,classic city pop",222106
29,Count What You Have Now,J-Funk City : Vantage's Edits Collection,Vantage,2019-09-17,future funk,300000
30,4:00A.M.,Mignonne,Taeko Onuki,1978,"anime,classic city pop,japanese new wave,techno kayo",336960
31,Modern Museum,"TOKYO 1980s Victor Edition (The Compilation) Boogie, Funk & Modern Soul from Japan",岸正之,2018-12-05,classic city pop,273733
32,Do It Again,River's Island,"S. Kiyotaka & Omega Tribe,Kiyotaka Sugiyama",1984-03-21,classic city pop,275000
