Track Name,Artist Name(s)
Dear Breeze,"S. Kiyotaka & Omega Tribe, Kiyotaka Sugiyama"
Sweet Love,Junko Ohashi
Last Summer Whisper,Anri
Magic!,リアムMAZE1981
Dress Down,Kaoru Akimoto
Mayonaka no Door / Stay With Me,Miki Matsubara
Capricorn Woman,Naomi Akimoto
Summer Connection,Taeko Onuki
誤解,加藤有紀
満ちていく体温,Blu-Swing
サンセット・ロード,高橋玲子
シンプル・ラブ,Junko Ohashi
SOUL LADY,YUKIKA
WINDY SUMMER,Anri
街のドルフィン,Kingo Hamada
Super Chance,1986 OMEGA TRIBE
ふたりの夏物語 NEVER ENDING SUMMER,"S. Kiyotaka & Omega Tribe,Kiyotaka Sugiyama"
Remember Summer Days,Anri
Tokai,Taeko Onuki
Plastic Love,リアムMAZE1981
Yours,Yuki Saitou
Summer Suspicion,"S. Kiyotaka & Omega Tribe,Kiyotaka Sugiyama"
River's Island,"Kiyotaka Sugiyama,S. Kiyotaka & Omega Tribe"
Sunset (2019 Y.Nakamura Remastering),Blu-Swing
ガラスのPALM TREE,"S. Kiyotaka & Omega Tribe,Kiyotaka Sugiyama"
悲しみがとまらない　I CAN'T STOP THE LONELINESS,Anri
Telephone Number,Junko Ohashi
ファッシネイション,岡本舞子
Count What You Have Now,Vantage
4:00A.M.,Taeko Onuki
Modern Museum,岸正之
Do It Again,"S. Kiyotaka & Omega Tribe,Kiyotaka Sugiyama"
Scramble Cross,"S. Kiyotaka & Omega Tribe,Kiyotaka Sugiyama"
DOWNTOWN BOY,Yumi Matsutoya
NEON,YUKIKA
Street Dancer,Hiromi Iwasaki
SHYNESS BOY,Anri
Tropical Adventure,Desired
スローモーション,Akina Nakamori
抱かれに来た女,Kingo Hamada
東京ジャズ・クラブ,新田一郎
BLACK JACK,加藤有紀
Flash Back Memories,Anri
男と女,Junko Ohashi
midnight cruisin',Kingo Hamada
君は1000%,1986 OMEGA TRIBE
我がままなハイヒール,Kaoru Akimoto
ダンシング・ヒーロー(Eat You Up),Yoko Oginome
Midnight Down Town,"S. Kiyotaka & Omega Tribe,Kiyotaka Sugiyama"
Closed On Sunday,Kanye West
Rev Run,HDBeenDope
Sunday,"Danny Towers,Pouya"
Sundress,A$AP Rocky
ROCKSTAR P,Baby Keem
314 (feat. Night Lovell),"Dylan Brady,Night Lovell"
I LIKE BLOOD,"Night Lovell,Wifisfuneral"
Let Me Know (I Wonder Why Freestyle),Juice WRLD
Better Dayz,REASON
Ninety,Jaden
Rich N***a S**t (feat. Young Thug),"21 Savage,Metro Boomin,Young Thug"
SAME THING,The Kid LAROI
Lost In The World,"Kanye West,Bon Iver"
Pigs,"Tyler, The Creator"
Hot (feat. Gunna),"Young Thug,Gunna"
She Stole My Heart,Ark Woods
whitegold,whiterosemoxie
Won't Live Here,Daniel Caesar
Light from the Car,Night Lovell
Homecoming,"Kanye West,Chris Martin"
Yessirskiii,"Lil Uzi Vert,21 Savage"
FIVE SIX,Pouya
